Key,English [en-GB]
141_b_1,Add +1 Attack <sprite name=Attack> to all of your ranged attacks this round.
141_b_1_alt,Add +2 Attack <sprite name=Attack> to all of your ranged attacks this round.
141_b_2,"Add +2 Attack <sprite name=Attack> instead, <sprite name=XP1>."
141_t,"For each hex you cannot push the target because of a wall or obstacle, the target suffers 2 damage and you gain <sprite name=XP1>."
142_b,The movement must end in a hex adjacent to an obstacle.
142_t_1,Destroy all obstacles within <nobr>Range <sprite name=Range> 2.</nobr>
142_t_2,where X is twice the number of hexes the destroyed obstacles occupied.
143_b,"At the start of your next five turns, perform a <nobr>""Heal <sprite name=Heal> 2,</nobr> <nobr>Range <sprite name=Range> 2"" action.</nobr>"
144_b,All allies and enemies adjacent to any hexes you enter during the movement suffer <nobr>2 damage.</nobr>
144_t,All allies and enemies adjacent to the target suffer damage equal to the damage the target suffered.
145_t,"You may push the targets into hexes containing obstacles. In each case, the obstacle is destroyed, the target suffers 2 damage, and you gain <sprite name=XP1>."
146_b_1,Force one enemy within <nobr>Range <sprite name=Range> 5 </nobr> to perform
146_b_2,targeting another enemy with you controlling the action.
146_t,Add +1 Attack <sprite name=Attack> for each negative condition on the target.
149_b,"If you end the movement in the same hex you started in, perform"
150_t,Summon Plague Rat
152_b,Force one enemy within <nobr>Range <sprite name=Range> 4 </nobr> to perform
154_t,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> for each negative condition on the target.
157_b,One ally within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
157_t,One adjacent ally may perform
159_t,Summon Monstrous Rat
160_b,Force one normal or elite enemy within <nobr>Range <sprite name=Range> 3</nobr> to perform its turn this round as if its allies were enemies and its enemies were allies.
163_t,Gain one additional money token for each adjacent enemy
164_t_1,Kill one normal enemy within <nobr>Range <sprite name=Range> 4.</nobr>
164_t_2,Target all enemies adjacent to the killed enemy
165_b,"You may have two <nobr><color=#A7B3D2>Augments</color> <sprite name=Augment></nobr> active at once. If a third <nobr><color=#A7B3D2>Augment</color> <sprite name=Augment></nobr> is played, discard one of the others."
166_b,Force one enemy within <nobr>Range <sprite name=Range> 5 </nobr> to perform
170_b,All your ranged attacks gain the effects of your <nobr><color=#A7B3D2>Augments</color> <sprite name=Augment></nobr> this round. 
172_b,"Force one normal or elite enemy within <nobr>Range <sprite name=Range> 5</nobr> to perform its turn this round as if its allies were enemies and its enemies were allies, with you controlling the actions."
172_t,This attack gains the effects of your <nobr> <color=#A7B3D2>Augments</color> <sprite name=Augment> </nobr>.
173_b,"All allies within <nobr>Range <sprite name=Range> 2</nobr> add <nobr>+X Attack</nobr> to all their attacks this round, where X is the number of your allies within <nobr>Range <sprite name=Range> 2</nobr> of you."
173_t_1,Summon Rat King
173_t_2,X is half of <nobr>Rat King's</nobr> current health (rounded up).
175_t,"On the next five melee attacks targeting you, gain <nobr>Retaliate <sprite name=Retaliate> *TRetaliate*.</nobr>"
177_t,One adjacent ally may <nobr>Recover <sprite name=Recover></nobr> one of their burned cards.
178_t_1,One adjacent ally may <nobr>Recover <sprite name=Recover></nobr> two of their discarded cards.
178_t_2,"Up to three discarded cards instead, <sprite name=XP1>."
179_b,You and all adjacent allies suffer no damage this round.
184_b,Deduct -1 Move <sprite name=Move> from all your moves.
185_t,Heal all damage on one <nobr>adjacent ally.</nobr>
187_b,"<line-height=110%>At the end of your next five turns when <size=150%><voffset=-3><sprite name=Light></voffset></size> is not Strong, infuse <size=150%><voffset=-3><sprite name=Light></voffset></size>."
190_t,One adjacent ally may immediately perform one extra turn by playing two cards from their hand.
192_b,All allies within <nobr>Range <sprite name=Range> 5</nobr> <nobr>may perform</nobr>
194_b,All attacks targeting you or any ally within <nobr>Range <sprite name=Range> 4</nobr> of you gain Disadvantage this round.
196_t,Deduct <nobr>-1 Attack <sprite name=Attack></nobr> from all your attacks.
197_b,All allies add <nobr>+2 Move <sprite name=Move></nobr> to all their moves this round.
197_t,All allies add <nobr>+1 Attack <sprite name=Attack></nobr> to all their attacks this round.
199_t,"<line-height=110%>During any of your Attack actions, you may <voffset=-3><size=150%><sprite name=ConsumeLight></size></voffset> to add <nobr>+2 Attack <sprite name=Attack></nobr>, gain Advantage and <sprite name=XP1>."
200_b,"Up to two burned cards instead, <sprite name=XP1>"
202_t,"Kill one normal or elite enemy instead, <sprite name=XP1>"
203_t,"On your next four Attack actions, add <nobr>+3 Attack <sprite name=Attack></nobr>, <nobr>WOUND <sprite name=Wound></nobr>, and gain Advantage."
204_t,"When any ally suffers damage, you may suffer that damage reduced by 1 instead."
205_t,All allies within <nobr>Range <sprite name=Range> 2</nobr> <nobr>Refresh <sprite name=Refresh></nobr> one of their spent or consumed items.
206_b,<nobr>Refresh <sprite name=Refresh></nobr> all of your consumed <nobr>Small Items <sprite name=InvSmallItem></nobr>.
207_b,You and all allies within <nobr>Range <sprite name=Range> 2</nobr> add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks this round.
208_t,"Once during each of your Attack actions, if you use an item, add <nobr>+1 Attack <sprite name=Attack></nobr> to the entire Attack action."
215_t,<nobr>Refresh <sprite name=Refresh></nobr> one of your consumed <nobr>Small Items <sprite name=InvSmallItem></nobr>.
216_t,One adjacent ally may <nobr>Refresh <sprite name=Refresh></nobr> all of their spent items.
217_b,<nobr>Recover <sprite name=Recover></nobr> up to two of your discarded cards.
217_t,You or one adjacent ally may <nobr>Refresh <sprite name=Refresh></nobr> one spent or consumed <nobr>One-Hand Item <sprite name=InvOneHand></nobr> or <nobr>Two-Hand Item <sprite name=InvTwoHands></nobr>.
219_b,<nobr>Recover <sprite name=Recover></nobr> up to two of your lost cards.
219_t,"At the end of each of your turns, you may discard a card to allow an adjacent ally to <nobr>Refresh <sprite name=Refresh></nobr> one of their consumed <nobr>Small Items <sprite name=InvSmallItem></nobr>."
221_t,One adjacent ally may <nobr>Refresh <sprite name=Refresh></nobr> all of their spent and consumed items.
223_t,"At the end of each round, <nobr>Refresh <sprite name=Refresh></nobr> one of your spent items."
224_t,You and all enemies with <nobr>Range <sprite name=Range> 4</nobr> suffer 2 damage.
225_b,You and all normal enemies within the targeted area suffer 7 damage.
226_t,"If any adjacent ally performs a ranged attack action, that ally gains <nobr>ADD TARGET <size=130%><voffset=-1.5><sprite name=Target></voffset></size></nobr> for the attack."
228_b,Any one ally may <nobr>Recover <sprite name=Recover></nobr> all of their discarded cards.
228_t,"Each time you long rest, <nobr>Refresh <sprite name=Refresh></nobr> one of your consumed items."
229_b,"During all your attacks this round, ignore the Shield values of all your targets."
230_t,"At the end of your next five turns, perform a ""<nobr>Heal <sprite name=Heal> 2</nobr>, Affect all adjacent allies"" action."
231_t,Kill one adjacent normal or elite enemy.
232_b,You and all adjacent allies may <nobr>Refresh <sprite name=Refresh></nobr> all of your consumed <nobr>Small Items <sprite name=InvSmallItem></nobr>.
235_b,All attacks targeting you and all summoned allies gain Disadvantage this round.
235_t,2 Shadow Wolves
236_b,Recover <sprite name=Recover> up to four of your <nobr>burned cards.</nobr>
238_t,One adjacent summoned ally performs
245_t,"On any of your Move actions, or the Move actions of any ally you have summoned you may <sprite name=ConsumeEarth> to add <nobr>+2 Move <sprite name=Move> </nobr> and gain <sprite name=XP1>."
247_t,Kill all normal adjacent enemies whose current hit point value is less than or equal to 5.
250_t,Two summoned allies within <nobr>Range <sprite name=Range> 2</nobr> perform
253_t,3 Nail Spheres
257_b,"Remove all <nobr>CURSE <sprite name=Curse></nobr> cards from your attack modifier deck, then shuffle the attack modifier discard pile back into the deck."
257_t,"The next three times summoned allies would suffer damage, they suffer no damage instead."
258_b,Swap positions with any one summoned ally.
258_t,One summoned ally within <nobr>Range <sprite name=Range> 3</nobr> performs
260_b,All summoned allies within <nobr>Range <sprite name=Range> 3</nobr> perform
261_t,"During your next four Attack actions while <nobr>INVISIBLE <sprite name=Invisible></nobr>, perform ""<nobr>Attack <sprite name=Attack> 2</nobr>, <nobr>Range <sprite name=Range> 3</nobr>"" as the final part of the action."
263_b,"Double the value of all your <nobr>Attack <sprite name=Attack></nobr> abilities this turn, <sprite name=XP1>."
263_t,"Double the value of all your <nobr>Move <sprite name=Move></nobr> abilities this turn, <sprite name=XP1>."
266_t,"Kill one normal target instead, <sprite name=XP1>."
268_t,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if you are <nobr>INVISIBLE <sprite name=Invisible></nobr>.
270_b,"During your next four Attack actions, perform ""<nobr>Move <sprite name=Move> 2</nobr>"" as the first part of the action."
271_b,Move to any unoccupied hex. You cannot move through a closed door.
274_t,Add <nobr>STUN <sprite name=Stun></nobr> and gain <sprite name=XP1> if you are <nobr>INVISIBLE <sprite name=Invisible></nobr>.
277_t,"<line-height=110%>At the end of your next three turns when <size=150%><voffset=-3><sprite name=Dark></voffset></size> is not Strong, infuse <size=150%><voffset=-3><sprite name=Dark></voffset></size>."
279_b,"During your next four Move actions while <nobr>INVISIBLE <sprite name=Invisible></nobr>, perform ""<nobr>Attack <sprite name=Attack> 2</nobr>, Target all adjacent enemies"" as the final part of the action."
283_t_1,Gain advantage on all of your attacks.
283_t_2,You can target <nobr>INVISIBLE <sprite name=Invisible></nobr> enemies.
286_t,"Add <nobr>POISON <sprite name=Poison></nobr>, <nobr>MUDDLE <sprite name=Muddle></nobr>, <nobr>WOUND <sprite name=Wound></nobr> and gain <sprite name=XP1> if you are <nobr>INVISIBLE <sprite name=Invisible></nobr>."
287_b,"Kill one adjacent normal enemy, <sprite name=XP1>."
287_t,"Kill all normal targets instead, <sprite name=XP2>."
288_t,"On your next five attacks while <nobr>INVISIBLE <sprite name=Invisible></nobr>, add <nobr>STUN <sprite name=Stun></nobr> to the attack."
320_b,"If you have fewer hit points than half your maximum hit point value (rounded up), gain <sprite name=XP1> and perform"
321_t,You may suffer 2 damage to add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1>.
322_b,"On the next three sources of damage to you that would reduce you to less than 1 hit point, suffer <nobr>no damage instead.</nobr>"
322_t,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if your current hit point value is less than half your maximum hit point value (rounded up).
324_b_1,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks.
324_b_2,Suffer 1 damage at the start of each of your turns.
324_t,Suffer damage equal to half of your current hit point value (rounded up).
325_b,"The next four times you are healed, add <nobr>+2 Heal <sprite name=Heal></nobr>."
326_t,You may suffer 2 damage to add <nobr>STUN <sprite name=Stun></nobr> and gain <sprite name=XP1>.
329_b,"You may overheal to a maximum of 26 hit points, but your maximum hit point value remains the same for the purpose of all ability effects."
330_t,"Reduce your current hit points to 1.
This is not considered damage."
331_b,You may suffer 2 damage to <nobr>STUN <sprite name=Stun></nobr> one adjacent enemy.
331_t,"You may suffer 2 damage to gain <nobr>Shield <sprite name=Shield> 1, <sprite name=XP1></nobr>."
332_b,All melee attacks targeting you add <nobr>+1 Attack <sprite name=Attack></nobr>.
332_t,You may suffer up to 3 damage.
333_b,Add <nobr>+2 Move <sprite name=Move></nobr> if you have fewer hit points than half of your maximum hit point value <nobr>(rounded up).</nobr>
334_t,Increase the value of each of your <nobr>Retaliate <sprite name=Retaliate></nobr> abilities by 2 this round.
335_t,Kill one adjacent normal enemy whose current hit point value is less than half the difference between your maximum hit point value and current hit point value.
336_t,You may suffer up to 4 damage.
337_b,Gain advantage on all of your attacks this round. All attacks targeting you gain Disadvantage this round.
337_b_1,Gain advantage on all of your attacks this round.
337_b_2,All attacks targeting you gain Disadvantage this round.
338_b,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks when you have fewer hit points than half of your maximum hit point value <nobr>(rounded up).</nobr>
338_t,Gain <nobr>Shield <sprite name=Shield> 1</nobr> and <sprite name=XP1> if you have fewer hit points than half of your maximum hit point value <nobr>(rounded up).</nobr>
339_t,You immediately become exhausted.
341_b,"If you short rest during your next turn, gain all the benefits of a <nobr>long rest</nobr>."
341_t,You may suffer 2 damage to ignore the target's Shield value and gain <sprite name=XP1>.
343_b,You are immune to all negative conditions.
343_t,"<nobr>WOUND <sprite name=Wound></nobr> self and all adjacent allies to add <nobr>PUSH <sprite name=Push> 2,</nobr> <nobr>IMMOBILIZE <sprite name=Immobilize>.</nobr>"
345_b,"Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks this round, <sprite name=XP1>."
345_t,"On the next five sources of damage to you, perform an <nobr>""Attack <sprite name=Attack> 3""</nobr> action."
346_t,"On the next five sources of damage to you, suffer no damage instead."
347_b,You may suffer up to 5 damage.
347_t,"Perform a ""<nobr>Heal <sprite name=Heal> 2</nobr>, Self"" action for each enemy damaged."
348_t,All allies add +1 Attack <sprite name=Attack> to one of their attacks each turn.
349_b,"The next time any ally within <nobr>Range <sprite name=Range> 2</nobr> suffers damage this round, they suffer no damage instead."
350_t,All allies add <nobr>+1 Move <sprite name=Move></nobr> to all their Move actions and add <nobr>+1 Range <sprite name=Range></nobr> to all their ranged attacks.
352_b,One ally within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
354_b,"Force all enemies in the targeted area to perform a <nobr>""Move <sprite name=Move> 1""</nobr> action with you controlling the actions."
357_t,All allies add <nobr>WOUND <sprite name=Wound></nobr> to all their attacks.
358_t,"The next five times you <nobr>CURSE <sprite name=Curse></nobr> an enemy, <nobr>CURSE <sprite name=Curse></nobr> them an additional time."
360_t,"All allies may perform a <nobr>""Heal <sprite name=Heal> 1, Self""</nobr> action at the beginning of each of their turns."
362_t,"All allies gain <nobr>Retaliate <sprite name=Retaliate>2,</nobr> <nobr>Retaliate Range <sprite name=Range> 2</nobr>."
364_t,All enemies gain Disadvantage on all their attacks.
365_t,Any one ally may perform
366_t_1,"You may have two <nobr><color=#EBB0AA>Songs</color> <sprite name=Song> </nobr>active at once, but you only gain experience from one."
366_t_2,"If a third <nobr><color=#EBB0AA>Song</color> <sprite name=Song></nobr> is played, discard one of the others."
367_t,"All allies may perform a <nobr>""Move <sprite name=Move> 1""</nobr> before any of their Attack actions."
368_t,"At the beginning of each of your turns, you may force one enemy within <nobr>Range <sprite name=Range> 5</nobr> to perform a <nobr>""Move <sprite name=Move> 2""</nobr> action with you controlling the action."
370_t,"At the beginning of each of your turns, <nobr>CURSE <sprite name=Curse></nobr> one enemy within <nobr>Range <sprite name=Range> 5</nobr>."
371_b,All allies within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
372_t,"All allies may perform a <nobr>""Heal <sprite name=Heal> 2, Self""</nobr> action at the beginning of each of their turns."
373_b,"Force all enemies in the targeted area to perform a <nobr>""Move <sprite name=Move> 2""</nobr> action with you controlling the actions."
374_t,All allies add <nobr>+1 Attack <sprite name=Attack></nobr> to all their attacks.
375_b,Two allies within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
375_t,"Force all enemies moved through to perform an <nobr>""Attack <sprite name=Attack> 3""</nobr> action targeting another enemy with you controlling the actions."
449_b,"Once during each of your Attack actions, you may <voffset=-3><size=150%><sprite name=ConsumeAny></size></voffset> to add +1 Attack <sprite name=Attack> to the entire Attack action."
450_b_1,"<line-height=100%>At the end of each of your turns, you may generate <voffset=-3><size=150%><sprite name=Any></size></voffset>."
450_b_2,Deduct -1 Attack <sprite name=Attack> from all your attacks.
459_b,All attacks targeting you gain Disadvantage this round.
463_t_1,"Attack <sprite name=Attack> X-1 on a new enemy within <nobr>Range <sprite name=Range> 2</nobr> of the first target, then Attack <sprite name=Attack> X-2 on a third enemy within <nobr>Range <sprite name=Range> 2</nobr> of the second target"
463_t_2,Attack <sprite name=Attack> X-3 on a fourth enemy within <nobr>Range <sprite name=Range> 2</nobr> of the third target
468_t,Target all enemies within <nobr>Range <sprite name=Range> 2</nobr> of the healed character.
469_b_1,Summon Doppelganger
469_b_2,You may perform Attack actions as if you occupy the summon's hex.
470_t,"Kill all normal <nobr>targets instead, <sprite name=XP1></nobr>."
471_t,The healed character may Recover <sprite name=Recover> one of their discarded cards.
472_b_1,"<nobr>+2 Move <sprite name=Move>, WOUND <sprite name=Wound></nobr> <nobr>all enemies moved through, <sprite name=XP1></nobr>"
472_b_2,"<nobr>+2 Move <sprite name=Move>, IMMOBILIZE <sprite name=Immobilize></nobr> <nobr>all enemies moved through, <sprite name=XP1></nobr>"
472_t,"Once per action, if you consume an element during the action, you may cause one enemy within <nobr>Range <sprite name=Range> 2</nobr> to suffer 1 damage or you may perform a <nobr>""Heal <sprite name=Heal> 1, Range <sprite name=Range> 2""</nobr> action."
474_b,Perform any of the following abilities:
474_t,Summon Mana Sphere
477_b,Swap the positions of any two characters.
478_b,Swap the positions of any two enemies.
481_b_1,"Before your bear acts, you may forgo the top action of your turn to add <nobr>+3 Attack <sprite name=Attack></nobr> to all your bear’s attacks this round."
481_b_2,"Before your bear acts, you may forgo the bottom action of your turn to add <nobr>+3 Move <sprite name=Move></nobr> to all your bear’s moves this round."
489_b_1,Redistribute all damage taken by you and all summoned allies however you like.
489_b_2,No character may end with more damage than their maximum hit point value.
495_b,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your <nobr><color=#BF9C8B>Commands</color> <sprite name=Command></nobr> this round.
496_b,Any one summoned ally performs
498_b,Swap positions with your bear.
499_t,"After your bear's next five attacks, it performs a <nobr>""Heal <sprite name=Heal> 2, Self""</nobr> action."
501_b,All summoned allies within <nobr>Range <sprite name=Range> 3</nobr> perform
504_t,Kill one adjacent normal enemy whose current hit point value is less than or equal to 6.
505_b,Recover <sprite name=Recover> up to two of your burned cards with Summon actions on them.
505_t,All adjacent allies add <nobr>+2 Attack <sprite name=Attack></nobr> to all their attacks.
538,Create a *Trap1* damage trap in an adjacent empty hex closest to an enemy.
542,Add <nobr>+2 Attack <sprite name=Attack> </nobr>if the target is adjacent to any of the Hound’s allies.
569,Living Corpse suffers *Damage1* damage.
609,Cultist suffers *Damage1* damage.
